  1.0000000e+000  6.8700000e+001  5.8110000e+001  8.7810000e+001
  2.0000000e+000  6.5000000e+001  5.8520000e+001  8.5690000e+001
  3.0000000e+000  7.0380000e+001  5.2620000e+001  7.1780000e+001
  4.0000000e+000  7.0860000e+001  5.8830000e+001  7.7340000e+001
  5.0000000e+000  6.6560000e+001  6.0590000e+001  6.8120000e+001
  6.0000000e+000  7.3570000e+001  6.1570000e+001  5.7980000e+001
  7.0000000e+000  7.3570000e+001  6.7220000e+001  8.9860000e+001
  8.0000000e+000  6.9890000e+001  5.8250000e+001  7.4810000e+001
  9.0000000e+000  7.0980000e+001  6.3120000e+001  8.3270000e+001
  1.0000000e+001  7.0520000e+001  6.4000000e+001  8.2340000e+001
  1.1000000e+001  6.9440000e+001  6.4700000e+001  8.0210000e+001
  1.2000000e+001  7.2180000e+001  5.5040000e+001  6.9960000e+001
  1.3000000e+001  6.8240000e+001  6.1060000e+001  7.0530000e+001
  1.4000000e+001  7.6550000e+001  6.1190000e+001  7.6260000e+001
  1.5000000e+001  6.9590000e+001  5.4960000e+001  6.8140000e+001
  1.6000000e+001  7.0340000e+001  5.6290000e+001  6.9440000e+001
  1.7000000e+001  7.3200000e+001  6.5410000e+001  9.4720000e+001
  1.8000000e+001  7.0180000e+001  5.9340000e+001  8.0560000e+001
  1.9000000e+001  6.9710000e+001  6.1950000e+001  6.7830000e+001
  2.0000000e+001  6.7500000e+001  6.0440000e+001  7.9590000e+001
  2.1000000e+001  7.0880000e+001  5.6820000e+001  6.8720000e+001
  2.2000000e+001  6.5990000e+001  5.7200000e+001  6.6510000e+001
  2.3000000e+001  7.2140000e+001  6.2220000e+001  7.7390000e+001
  2.4000000e+001  7.4870000e+001  5.5250000e+001  8.9530000e+001
