   0.0000000e+00   0.0000000e+00
   1.0000000e+01   1.7453293e-01
   2.0000000e+01   3.4906585e-01
   3.0000000e+01   5.2359878e-01
   4.0000000e+01   6.9813170e-01
   5.0000000e+01   8.7266463e-01
   6.0000000e+01   1.0471976e+00
   7.0000000e+01   1.2217305e+00
   8.0000000e+01   1.3962634e+00
   9.0000000e+01   1.5707963e+00
   1.0000000e+02   1.7453293e+00
   1.1000000e+02   1.9198622e+00
   1.2000000e+02   2.0943951e+00
   1.3000000e+02   2.2689280e+00
   1.4000000e+02   2.4434610e+00
   1.5000000e+02   2.6179939e+00
   1.6000000e+02   2.7925268e+00
   1.7000000e+02   2.9670597e+00
   1.8000000e+02   3.1415927e+00
